ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,InvoiceNumber,Reference,InvoiceDate,DueDate,PlannedDate,Total,TaxTotal,InvoiceAmountPaid,InvoiceAmountDue,InventoryItemCode,Description,Quantity,UnitAmount,Discount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Type,Sent,Status
SolarTech Distribution Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,15/01/2025,14/02/2025,,22755.0000,4255.0000,0.0000,22755.0000,,Solar panels — stock,1.0000,18500.0000,,18500.0000,500,23% (VAT on Income),4255.0000,,,,,EUR,Bill,,Awaiting Payment
EuroInverters Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,20/01/2025,19/02/2025,,11316.0000,2116.0000,0.0000,11316.0000,,Inverters — stock,1.0000,9200.0000,,9200.0000,510,23% (VAT on Income),2116.0000,,,,,EUR,Bill,,Awaiting Payment
PowerCell Batteries Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,5/02/2025,7/03/2025,,17958.0000,3358.0000,0.0000,17958.0000,,Batteries — stock,1.0000,14600.0000,,14600.0000,520,23% (VAT on Income),3358.0000,,,,,EUR,Bill,,Awaiting Payment
Cork Electrical Supplies,,,,,,,,,Ireland,,,,,,,,Ireland,,,12/02/2025,14/03/2025,,3936.0000,736.0000,0.0000,3936.0000,,Installation materials,1.0000,3200.0000,,3200.0000,530,23% (VAT on Income),736.0000,,,,,EUR,Bill,,Awaiting Payment
O'Sullivan Subcontracting,,,,,,,,,Ireland,,,,,,,,Ireland,,,28/02/2025,30/03/2025,,10332.0000,1932.0000,0.0000,10332.0000,,Subcontractor installation labour,1.0000,8400.0000,,8400.0000,540,23% (VAT on Income),1932.0000,,,,,EUR,Bill,,Awaiting Payment
Munster Insurance Brokers,,,,,,,,,Ireland,,,,,,,,Ireland,,,1/03/2025,31/03/2025,,4800.0000,0.0000,4800.0000,0.0000,,Annual public liability insurance premium,1.0000,4800.0000,,4800.0000,610,0% (VAT on Income),0.0000,,,,,EUR,Bill,,Paid
SolarTech Distribution Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,15/03/2025,14/04/2025,,26322.0000,4922.0000,0.0000,26322.0000,,Solar panels — stock,1.0000,21400.0000,,21400.0000,500,23% (VAT on Income),4922.0000,,,,,EUR,Bill,,Awaiting Payment
EuroInverters Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,22/03/2025,21/04/2025,,12423.0000,2323.0000,0.0000,12423.0000,,Inverters — stock,1.0000,10100.0000,,10100.0000,510,23% (VAT on Income),2323.0000,,,,,EUR,Bill,,Awaiting Payment
Cork Electrical Supplies,,,,,,,,,Ireland,,,,,,,,Ireland,,,5/04/2025,5/05/2025,,3567.0000,667.0000,0.0000,3567.0000,,Installation materials,1.0000,2900.0000,,2900.0000,530,23% (VAT on Income),667.0000,,,,,EUR,Bill,,Awaiting Payment
O'Sullivan Subcontracting,,,,,,,,,Ireland,,,,,,,,Ireland,,,18/04/2025,18/05/2025,,11193.0000,2093.0000,0.0000,11193.0000,,Subcontractor installation labour,1.0000,9100.0000,,9100.0000,540,23% (VAT on Income),2093.0000,,,,,EUR,Bill,,Awaiting Payment
PowerCell Batteries Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,10/05/2025,9/06/2025,,19926.0000,3726.0000,0.0000,19926.0000,,Batteries — stock,1.0000,16200.0000,,16200.0000,520,23% (VAT on Income),3726.0000,,,,,EUR,Bill,,Awaiting Payment
SolarTech Distribution Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,25/05/2025,24/06/2025,,24354.0000,4554.0000,0.0000,24354.0000,,Solar panels — stock,1.0000,19800.0000,,19800.0000,500,23% (VAT on Income),4554.0000,,,,,EUR,Bill,,Awaiting Payment
Vodafone Ireland,,,,,,,,,Ireland,,,,,,,,Ireland,,,1/06/2025,1/07/2025,,393.6000,73.6000,0.0000,393.6000,,Business mobile/telephone,1.0000,320.0000,,320.0000,620,23% (VAT on Income),73.6000,,,,,EUR,Bill,,Awaiting Payment
O'Sullivan Subcontracting,,,,,,,,,Ireland,,,,,,,,Ireland,,,15/06/2025,15/07/2025,,10701.0000,2001.0000,0.0000,10701.0000,,Subcontractor installation labour,1.0000,8700.0000,,8700.0000,540,23% (VAT on Income),2001.0000,,,,,EUR,Bill,,Awaiting Payment
Battery Supplier GmbH,,,,,,,,,Germany,,,,,,,,Germany,,,20/06/2025,20/07/2025,,10000.0000,0.0000,0.0000,10000.0000,,Batteries — EU intra-Community acquisition,1.0000,10000.0000,,10000.0000,520,0% (VAT on Income),0.0000,,,,,EUR,Bill,,Awaiting Payment
Cork Electrical Supplies,,,,,,,,,Ireland,,,,,,,,Ireland,,,2/07/2025,1/08/2025,,4182.0000,782.0000,0.0000,4182.0000,,Installation materials,1.0000,3400.0000,,3400.0000,530,23% (VAT on Income),782.0000,,,,,EUR,Bill,,Awaiting Payment
SolarTech Distribution Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,15/07/2025,14/08/2025,,27798.0000,5198.0000,0.0000,27798.0000,,Solar panels — stock,1.0000,22600.0000,,22600.0000,500,23% (VAT on Income),5198.0000,,,,,EUR,Bill,,Awaiting Payment
SolarTech Distribution Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,15/07/2025,14/08/2025,,27798.0000,5198.0000,0.0000,27798.0000,,Solar panels — stock (duplicate entry),1.0000,22600.0000,,22600.0000,500,23% (VAT on Income),5198.0000,,,,,EUR,Bill,,Awaiting Payment
