ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,InvoiceNumber,Reference,InvoiceDate,DueDate,PlannedDate,Total,TaxTotal,InvoiceAmountPaid,InvoiceAmountDue,InventoryItemCode,Description,Quantity,UnitAmount,Discount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Type,Sent,Status
Murphy Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0001,,14/01/2025,28/01/2025,,11000.0000,0.0000,11000.0000,0.0000,,Residential solar PV installation,1.0000,11000.0000,,11000.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
O'Brien Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0002,,22/01/2025,5/02/2025,,10500.0000,0.0000,10500.0000,0.0000,,Residential solar PV installation,1.0000,10500.0000,,10500.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Munster Facilities Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0003,,5/02/2025,7/03/2025,,34440.0000,6440.0000,34440.0000,0.0000,,Commercial solar equipment supply & install,1.0000,28000.0000,,28000.0000,410,23% (VAT on Income),6440.0000,,,,,EUR,Sales invoice,Unsent,Paid
Kelly Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0004,,18/02/2025,4/03/2025,,9800.0000,0.0000,9800.0000,0.0000,,Residential battery storage installation,1.0000,9800.0000,,9800.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Cork Logistics Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0006,,10/03/2025,9/04/2025,,39975.0000,7475.0000,39975.0000,0.0000,,Commercial solar panel supply,1.0000,32500.0000,,32500.0000,410,23% (VAT on Income),7475.0000,,,,,EUR,Sales invoice,Unsent,Paid
Byrne Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0007,,20/03/2025,3/04/2025,,13200.0000,0.0000,13200.0000,0.0000,,Residential solar PV installation,1.0000,13200.0000,,13200.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Harbour Retail Group,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0008,,2/04/2025,2/05/2025,,50430.0000,9430.0000,50430.0000,0.0000,,Commercial battery + panel supply,1.0000,41000.0000,,41000.0000,410,23% (VAT on Income),9430.0000,,,,,EUR,Sales invoice,Unsent,Paid
Walsh Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0009,,15/04/2025,29/04/2025,,12400.0000,0.0000,12400.0000,0.0000,,Residential solar PV installation,1.0000,12400.0000,,12400.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Lee Manufacturing Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0010,,28/04/2025,28/05/2025,,32964.0000,6164.0000,32964.0000,0.0000,,Commercial equipment supply,1.0000,26800.0000,,26800.0000,410,23% (VAT on Income),6164.0000,,,,,EUR,Sales invoice,Unsent,Paid
Fitzgerald Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0011,,10/05/2025,24/05/2025,,14500.0000,0.0000,14500.0000,0.0000,,Residential solar PV installation (large),1.0000,14500.0000,,14500.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Ryan Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0012,,22/05/2025,5/06/2025,,9200.0000,0.0000,9200.0000,0.0000,,Residential battery installation,1.0000,9200.0000,,9200.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Southcoast Hospitality Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0013,,4/06/2025,4/07/2025,,43788.0000,8188.0000,43788.0000,0.0000,,Commercial solar installation,1.0000,35600.0000,,35600.0000,410,23% (VAT on Income),8188.0000,,,,,EUR,Sales invoice,Unsent,Paid
Doyle Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0014,,16/06/2025,30/06/2025,,11900.0000,0.0000,11900.0000,0.0000,,Residential solar PV installation,1.0000,11900.0000,,11900.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Barrett Engineering Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0015,,28/06/2025,28/07/2025,,36162.0000,6762.0000,36162.0000,0.0000,,Commercial equipment supply,1.0000,29400.0000,,29400.0000,410,23% (VAT on Income),6762.0000,,,,,EUR,Sales invoice,Unsent,Paid
Nolan Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0016,,10/07/2025,24/07/2025,,14760.0000,2760.0000,0.0000,14760.0000,,Residential solar PV installation,1.0000,12000.0000,,12000.0000,400,23% (VAT on Income),2760.0000,,,,,EUR,Sales invoice,Unsent,Awaiting Payment
Coastal Retail Park Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0017,,22/07/2025,21/08/2025,,55596.0000,10396.0000,55596.0000,0.0000,,Commercial solar equipment supply,1.0000,45200.0000,,45200.0000,410,23% (VAT on Income),10396.0000,,,,,EUR,Sales invoice,Unsent,Paid
Quinn Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0018,,3/08/2025,17/08/2025,,10800.0000,0.0000,10800.0000,0.0000,,Residential solar PV installation,1.0000,10800.0000,,10800.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Blackrock Enterprises Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0019,,15/08/2025,14/09/2025,,40590.0000,7590.0000,40590.0000,0.0000,,Commercial battery installation,1.0000,33000.0000,,33000.0000,410,23% (VAT on Income),7590.0000,,,,,EUR,Sales invoice,Unsent,Paid
Casey Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0020,,27/08/2025,10/09/2025,,13600.0000,0.0000,13600.0000,0.0000,,Residential solar PV installation,1.0000,13600.0000,,13600.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Riverside Business Park Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0021,,8/09/2025,8/09/2025,,47355.0000,8855.0000,47355.0000,0.0000,,Commercial solar equipment supply,1.0000,38500.0000,,38500.0000,410,23% (VAT on Income),8855.0000,,,,,EUR,Sales invoice,Unsent,Paid
Moran Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0022,,20/09/2025,4/10/2025,,11300.0000,0.0000,11300.0000,0.0000,,Residential solar PV installation,1.0000,11300.0000,,11300.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Harmon Foods Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0023,,2/10/2025,1/11/2025,,26000.0000,0.0000,0.0000,26000.0000,,Commercial solar equipment supply,1.0000,26000.0000,,26000.0000,410,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Awaiting Payment
Whelan Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0024,,14/10/2025,28/10/2025,,12700.0000,0.0000,12700.0000,0.0000,,Residential solar PV installation,1.0000,12700.0000,,12700.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Prestige Motors Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0025,,26/10/2025,25/11/2025,,27552.0000,5152.0000,10000.0000,17552.0000,,Commercial battery + panel supply,1.0000,22400.0000,,22400.0000,410,23% (VAT on Income),5152.0000,,,,,EUR,Sales invoice,Unsent,Awaiting Payment
Grogan Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0026,,5/11/2025,19/11/2025,,10200.0000,0.0000,10200.0000,0.0000,,Residential solar PV installation,1.0000,10200.0000,,10200.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Delta Manufacturing Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0027,,14/11/2025,14/12/2025,,37884.0000,7084.0000,37884.0000,0.0000,,Commercial equipment supply,1.0000,30800.0000,,30800.0000,410,23% (VAT on Income),7084.0000,,,,,EUR,Sales invoice,Unsent,Paid
Costello Residence,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0028,,21/11/2025,5/12/2025,,9600.0000,0.0000,9600.0000,0.0000,,Residential solar PV installation,1.0000,9600.0000,,9600.0000,400,0% (VAT on Income),0.0000,,,,,EUR,Sales invoice,Unsent,Paid
Ashworth Group Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0031,,15/12/2025,14/01/2026,,63960.0000,11960.0000,63960.0000,0.0000,,Commercial solar equipment supply,1.0000,52000.0000,,52000.0000,410,23% (VAT on Income),11960.0000,,,,,EUR,Sales invoice,Unsent,Paid
Summit Business Centre Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0029,,28/12/2025,27/01/2026,,39360.0000,7360.0000,0.0000,39360.0000,,Commercial solar installation,1.0000,32000.0000,,32000.0000,410,23% (VAT on Income),7360.0000,,,,,EUR,Sales invoice,Unsent,Awaiting Payment
Everline Retail Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,INV-0030,,30/12/2025,29/01/2026,,22755.0000,4255.0000,0.0000,22755.0000,,Commercial battery installation,1.0000,18500.0000,,18500.0000,410,23% (VAT on Income),4255.0000,,,,,EUR,Sales invoice,Unsent,Awaiting Payment
Ashworth Group Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,CN-001,,8/01/2026,,,-6150.0000,-1150.0000,0.0000,-6150.0000,,Credit note — price adjustment agreed on INV030 (goods returned),1.0000,-5000.0000,,-5000.0000,410,23% (VAT on Income),-1150.0000,,,,,EUR,Sales credit note,Unsent,Awaiting Payment
